Feature Set,Accuracy
"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}",0.734
"{2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}",0.736
"{1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}",0.68
"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12}",0.746
"{1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12}",0.75
"{1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12}",0.708
"{1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12}",0.742
"{1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12}",0.746
"{1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12}",0.768
"{1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12}",0.736
"{1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12}",0.724
"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12}",0.726
"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}",0.706
"{2, 3, 4, 5, 6, 7, 9, 10, 11, 12}",0.772
"{1, 3, 4, 5, 6, 7, 9, 10, 11, 12}",0.7
"{1, 2, 4, 5, 6, 7, 9, 10, 11, 12}",0.76
"{1, 2, 3, 5, 6, 7, 9, 10, 11, 12}",0.768
"{1, 2, 3, 4, 6, 7, 9, 10, 11, 12}",0.744
"{1, 2, 3, 4, 5, 7, 9, 10, 11, 12}",0.748
"{1, 2, 3, 4, 5, 6, 9, 10, 11, 12}",0.758
"{1, 2, 3, 4, 5, 6, 7, 10, 11, 12}",0.76
"{1, 2, 3, 4, 5, 6, 7, 9, 11, 12}",0.758
"{1, 2, 3, 4, 5, 6, 7, 9, 10, 12}",0.754
"{1, 2, 3, 4, 5, 6, 7, 9, 10, 11}",0.718
"{3, 4, 5, 6, 7, 9, 10, 11, 12}",0.71
"{2, 4, 5, 6, 7, 9, 10, 11, 12}",0.79
"{2, 3, 5, 6, 7, 9, 10, 11, 12}",0.794
"{2, 3, 4, 6, 7, 9, 10, 11, 12}",0.78
"{2, 3, 4, 5, 7, 9, 10, 11, 12}",0.774
"{2, 3, 4, 5, 6, 9, 10, 11, 12}",0.79
"{2, 3, 4, 5, 6, 7, 10, 11, 12}",0.762
"{2, 3, 4, 5, 6, 7, 9, 11, 12}",0.76
"{2, 3, 4, 5, 6, 7, 9, 10, 12}",0.762
"{2, 3, 4, 5, 6, 7, 9, 10, 11}",0.728
"{3, 5, 6, 7, 9, 10, 11, 12}",0.692
"{2, 5, 6, 7, 9, 10, 11, 12}",0.79
"{2, 3, 6, 7, 9, 10, 11, 12}",0.804
"{2, 3, 5, 7, 9, 10, 11, 12}",0.782
"{2, 3, 5, 6, 9, 10, 11, 12}",0.78
"{2, 3, 5, 6, 7, 10, 11, 12}",0.814
"{2, 3, 5, 6, 7, 9, 11, 12}",0.802
"{2, 3, 5, 6, 7, 9, 10, 12}",0.78
"{2, 3, 5, 6, 7, 9, 10, 11}",0.748
"{3, 5, 6, 7, 10, 11, 12}",0.722
"{2, 5, 6, 7, 10, 11, 12}",0.826
"{2, 3, 6, 7, 10, 11, 12}",0.814
"{2, 3, 5, 7, 10, 11, 12}",0.816
"{2, 3, 5, 6, 10, 11, 12}",0.824
"{2, 3, 5, 6, 7, 11, 12}",0.816
"{2, 3, 5, 6, 7, 10, 12}",0.804
"{2, 3, 5, 6, 7, 10, 11}",0.768
"{5, 6, 7, 10, 11, 12}",0.728
"{2, 6, 7, 10, 11, 12}",0.836
"{2, 5, 7, 10, 11, 12}",0.854
"{2, 5, 6, 10, 11, 12}",0.848
"{2, 5, 6, 7, 11, 12}",0.822
"{2, 5, 6, 7, 10, 12}",0.83
"{2, 5, 6, 7, 10, 11}",0.812
"{5, 7, 10, 11, 12}",0.728
"{2, 7, 10, 11, 12}",0.848
"{2, 5, 10, 11, 12}",0.882
"{2, 5, 7, 11, 12}",0.886
"{2, 5, 7, 10, 12}",0.866
"{2, 5, 7, 10, 11}",0.806
"{11, 12, 5, 7}",0.748
"{2, 11, 12, 7}",0.888
"{2, 11, 12, 5}",0.906
"{2, 12, 5, 7}",0.918
"{2, 11, 5, 7}",0.828
"{12, 5, 7}",0.756
"{2, 12, 7}",0.932
"{2, 12, 5}",0.942
"{2, 5, 7}",0.832
"{12, 5}",0.714
"{2, 12}",0.968
"{2, 5}",0.838
{12},0.742
{2},0.856
