Feature Set,Accuracy
{1},0.7012
{2},0.7134
{3},0.7044
{4},0.7126
{5},0.7246
{6},0.7136
{7},0.7026
{8},0.7024
{9},0.717
{10},0.7058
{11},0.7082
{12},0.7152
{13},0.7068
{14},0.6994
{15},0.7044
{16},0.7092
{17},0.7014
{18},0.7052
{19},0.7092
{20},0.7004
{21},0.8504
{22},0.6936
{23},0.712
{24},0.715
{25},0.7106
{26},0.7012
{27},0.7158
{28},0.7126
{29},0.7064
{30},0.7156
{31},0.7038
{32},0.7164
{33},0.7022
{34},0.707
{35},0.6986
{36},0.7026
{37},0.712
{38},0.7
{39},0.7066
{40},0.7166
{41},0.714
{42},0.71
{43},0.7126
{44},0.7114
{45},0.6996
{46},0.6998
{47},0.705
{48},0.7118
{49},0.7044
{50},0.737
"{1, 21}",0.8346
"{2, 21}",0.8344
"{3, 21}",0.8432
"{4, 21}",0.8466
"{5, 21}",0.8438
"{21, 6}",0.8366
"{21, 7}",0.8512
"{8, 21}",0.8338
"{9, 21}",0.849
"{10, 21}",0.8404
"{11, 21}",0.8488
"{12, 21}",0.8368
"{13, 21}",0.8486
"{21, 14}",0.842
"{21, 15}",0.8448
"{16, 21}",0.8392
"{17, 21}",0.8388
"{18, 21}",0.8364
"{19, 21}",0.846
"{20, 21}",0.8352
"{21, 22}",0.8346
"{21, 23}",0.8514
"{24, 21}",0.8442
"{25, 21}",0.8304
"{26, 21}",0.8438
"{27, 21}",0.8488
"{28, 21}",0.8364
"{29, 21}",0.8444
"{21, 30}",0.8364
"{21, 31}",0.8252
"{32, 21}",0.8518
"{33, 21}",0.8526
"{34, 21}",0.8456
"{35, 21}",0.8422
"{36, 21}",0.8414
"{37, 21}",0.834
"{21, 38}",0.8388
"{21, 39}",0.8364
"{40, 21}",0.834
"{41, 21}",0.8434
"{42, 21}",0.8566
"{43, 21}",0.8312
"{44, 21}",0.8396
"{45, 21}",0.8454
"{21, 46}",0.8422
"{21, 47}",0.847
"{48, 21}",0.8406
"{49, 21}",0.8428
"{50, 21}",0.9732
"{1, 50, 21}",0.9528
"{50, 2, 21}",0.9506
"{50, 3, 21}",0.9512
"{50, 4, 21}",0.9484
"{50, 5, 21}",0.9558
"{50, 21, 6}",0.9536
"{50, 21, 7}",0.9524
"{8, 50, 21}",0.9556
"{9, 50, 21}",0.959
"{50, 10, 21}",0.9522
"{50, 11, 21}",0.9514
"{50, 12, 21}",0.9504
"{50, 13, 21}",0.9476
"{50, 21, 14}",0.9562
"{50, 21, 15}",0.9538
"{16, 50, 21}",0.9512
"{17, 50, 21}",0.9516
"{50, 18, 21}",0.9556
"{50, 19, 21}",0.9526
"{50, 20, 21}",0.9556
"{50, 21, 22}",0.9512
"{50, 21, 23}",0.968
"{24, 50, 21}",0.9488
"{25, 50, 21}",0.9508
"{50, 26, 21}",0.957
"{50, 27, 21}",0.9538
"{50, 28, 21}",0.949
"{50, 29, 21}",0.9554
"{50, 21, 30}",0.9566
"{50, 21, 31}",0.9524
"{32, 50, 21}",0.9524
"{33, 50, 21}",0.949
"{50, 34, 21}",0.9528
"{50, 35, 21}",0.9494
"{50, 36, 21}",0.9532
"{50, 37, 21}",0.954
"{50, 21, 38}",0.953
"{50, 21, 39}",0.949
"{40, 50, 21}",0.9546
"{41, 50, 21}",0.9504
"{50, 42, 21}",0.9532
"{50, 43, 21}",0.9502
"{50, 44, 21}",0.9506
"{50, 45, 21}",0.9524
"{50, 21, 46}",0.948
"{50, 21, 47}",0.9504
"{48, 50, 21}",0.959
"{49, 50, 21}",0.9516
